"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"BT1","1","Battery","","","","",""
"C1,C3","2","10uF","","","","",""
"C2,C14","2","1uF","","","","",""
"C4,C5,C6,C7","4","C","","","","",""
"C12,C30,C31,C32,C33,C36,C48,C49,C53,C54","10","100nF","","","","",""
"C13","1","3300pF","","","","",""
"C34,C35,C37,C38","4","220 nF","","","","",""
"C39","1","4.7uF","","","","Capacitor_SMD:C_0603_1608Metric",""
"C40","1","10nF","","","","Capacitor_SMD:C_0402_1005Metric",""
"C41,C46","2","1uF","","","","Cap_X7R_1uF:CAP_CL21_SAM",""
"C42,C93","2","100nF","","","","Capacitor_SMD:C_0402_1005Metric",""
"C43,C45","2","47uF","","","","Capacitor_SMD:C_1210_3225Metric",""
"C44","1","4.7pF","","","","Capacitor_SMD:C_0402_1005Metric",""
"C47","1","100 pF","","","","",""
"C50","1","100pF","","","","",""
"C51","1","2.2 uF","","","","",""
"C52","1","0.47 uF","","","","",""
"C55","1","0.1 uF","","","","",""
"C91","1","1uF","","","","Capacitor_SMD:C_0402_1005Metric",""
"D1,D3,D5","3","Schottky Diode","","","","",""
"D2","1","3V5","","","","",""
"D4","1","5V6","","","","",""
"D6,D7,D8","3","1N914","","","","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","http://www.vishay.com/docs/85622/1n914.pdf"
"D12","1","Fuse","","","","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","http://www.vishay.com/docs/85622/1n914.pdf"
"D13","1","16 V","","","","",""
"D17,D18","2","100V Zener diode","","","","",""
"D26","1","10V","","","","",""
"D27,D29","2","16V","","","","",""
"D28","1","100V","","","","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","http://www.vishay.com/docs/85622/1n914.pdf"
"J1","1","Conn_01x04","","","","",""
"J6,J7,J8,J9","4","Conn_02x04_Odd_Even","","","","",""
"J10,J12,J13,J14,J15","5","Conn_01x02","","","","",""
"J11","1","Conn_01x06","","","","",""
"J17","1","Conn_01x04_Pin","","","","",""
"J18","1","Screw_Terminal_01x02","","","","",""
"L1,L2,L3","3","10uH","","","","",""
"L4","1","1.8uH","","","","Footprints:IND-SMD_L6.6-W6.4-P4.04_XAL6030-182MEC",""
"Q2,Q7,Q9,Q10,Q13,Q14,Q17,Q18,Q19,Q20,Q22","11","Q_NMOS","","","","",""
"Q15","1","BSS84","","","","SOT-23TO-236_318-08_ONS","BSS84"
"Q16","1","2N7002","","","","Package_TO_SOT_SMD:SOT-23","https://www.onsemi.com/pub/Collateral/NDS7002A-D.PDF"
"Q21","1","NDT3055L","","","","Package_TO_SOT_SMD:SOT-223-3_TabPin2","https://www.onsemi.com/pdf/datasheet/ndt3055l-d.pdf"
"R1","1","590K","","","","",""
"R2,R9,R11,R29","4","100k","","","","",""
"R3,R4","2","10k","","","","",""
"R5","1","941K","","","","",""
"R6","1","340K","","","","",""
"R7","1","0.1","","","","",""
"R8,R14","2","R","","","","",""
"R15","1","165k","","","","",""
"R19","1","215K","","","","",""
"R36","1","16.5k","","","","",""
"R37,R58,R59,R60,R61,R62,R73,R74,R78","9","100","","","","",""
"R39","1","18.2k","","","","Resistor_SMD:R_0402_1005Metric",""
"R40","1","1M","","","","Resistor_SMD:R_0603_1608Metric",""
"R41","1","412k","","","","Resistor_SMD:R_0402_1005Metric",""
"R63,R72,R76,R77,R84,R85,R89,R90","8","5.1K","","","","",""
"R64","1","20K","","","","",""
"R65,R66","2","3.9K","","","","",""
"R67,R68,R69,R70","4","20","","","","",""
"R71,R81,R82","3","10M","","","","",""
"R75","1",".006","","","","",""
"R79","1","7.5K","","","","",""
"R80,R86,R87,R88","4","1k","","","","",""
"R83","1","10K","","","","",""
"R114,R116","2","330","","","","Resistor_SMD:R_0402_1005Metric",""
"R118,R120","2","4.7k","","","","Resistor_SMD:R_0402_1005Metric",""
"SW2,SW3,SW4","3","SW_SPST","","","","",""
"TH1,TH2,TH3","3","Thermistor","","","","",""
"U7","1","BQ34Z100-R2","","","","SOP65P640X120-14N","https://www.ti.com/lit/gpn/bq34z100-r2"
"U9","1","LT8612","","","","LT8612:QFN-28_UDE_LTI","https://www.analog.com/media/en/technical-documentation/data-sheets/lt8612.pdf"
"U10","1","TMP6131DECR","","","","DEC0002A-MFG","https://www.ti.com/lit/gpn/tmp61"
"U12","1","BQ76942PFBR","","","","PFB0048A_N","https://www.ti.com/lit/gpn/bq76942"
"U13","1","MCP96RL00-E_MX","","","","MCP96RL00-E_MX:QFN65P500X500X100-21N_MCP96RL00-E_MX","https://ww1.microchip.com/downloads/en/DeviceDoc/MCP960X-Data-Sheet-20005426.pdf"
"U14","1","LT3652","","","","SON45P300X300X80-13N-D","https://www.analog.com/media/en/technical-documentation/data-sheets/3652fe.pdf"
"U21","1","P82B715DR","","","","Footprints:SOIC127P600X175-8N","https://www.lcsc.com/datasheet/C2649394.pdf"
