Comment,Designator,Footprint,LCSC,Quantity
1k,"R4,R5",R_0402_1005Metric,C11702,2
INA219AxD,U13,SOIC-8_3.9x4.9mm_P1.27mm,C138706,1
1u,"C1,C19,C2,C21",C_0402_1005Metric,C14445,4
NCP1117-3.3_SOT223,U2,SOT-223-3_TabPin2,C146799,1
10nF,C17,C_0402_1005Metric,C15195,1
100n,"C10,C11,C14,C16,C18,C20,C3,C4,C5,C6,C7,C8,C9",C_0402_1005Metric,C1525,13
10u,"C15,C22,C23",C_0805_2012Metric,C1713,3
Conn_02x02_Top_Bottom,J3,Hirose_DF11-4DP-2DSA_2x02_P2.00mm_Vertical,C185144,1
LED,D3,LED_0603_1608Metric,C19171390,1
RP2040,U12,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,C2040,1
ABM8-272-T3,Y3,Crystal_SMD_3225-4Pin_3.2x2.5mm,C20625731,1
3V,BT1,BAT-TH_BAT-HLD-001-THM_1,C22417572,1
USB_B_Micro,J12,MICRO-USB-SMD_5P-P0.65-H-F_105164-0001,C234179,1
27,"R2,R3",R_0402_1005Metric,C25100,2
470,"R15,R16,R17",R_0402_1005Metric,C25117,3
10k,"R1,R10,R11,R13,R14,R6,R7",R_0402_1005Metric,C25744,7
TMP1075DSG,U15,WSON-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm_ThermalVias,C2870250,1
Conn_01x02_Pin,J5,HDR-TH_2P-P2.54-V-M,C2915055,1
0.002,R12,R_2512_6332Metric,C309524,1
LED,D2,LED_0201_0603Metric,C3646923,1
Conn_Coaxial,"J1,J2,J6",SMA_Amphenol_901-144_Vertical,C376663,3
Micro_SD_Card_Det1,J4,microSD-503398-1892-1,C428492,1
RFM98PW,U16,RFM98PW,C46962385,1
5k,"R8,R9",R_0402_1005Metric,C477765,2
NSR0320,D4,D_SOD-323F,C48192,1
TestPoint,"TP1,TP2,TP3,TP4,TP5,TP6",TH_BD3.2-D2.0,C5199900,6
15p,"C12,C13",C_0201_0603Metric,C85891,2
BLM18BD601SN1J,FL1,BEADC1608X95N,C88976,1
W25Q128JVS,U3,SOIC_208MIL_WIN,C97521,1
10k,R18,R_0603_1608Metric,C98220,1
CD-PA1616D,U1,CD-PA1616D,C9900078784,1
SW_Push_Shielded,"SW4,SW5",SW_Push_1P1T_NO_CK_KMR2,C99271,2
