Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
BT1,3V,BAT-TH_BAT-HLD-001-THM_1,164.025,-135.525,90.0,top
C1,1u,C_0402_1005Metric,115.895,-119.775,180.0,top
C10,100n,C_0402_1005Metric,128.53,-119.85,0.0,top
C11,100n,C_0402_1005Metric,115.245,-123.4,180.0,top
C12,15p,C_0201_0603Metric,132.3,-123.18,90.0,top
C13,15p,C_0201_0603Metric,127.725,-121.62,90.0,top
C14,100n,C_0402_1005Metric,110.21,-128.12,-90.0,top
C15,10u,C_0805_2012Metric,131.6,-162.65,0.0,top
C16,100nF,C_0402_1005Metric,149.17,-132.25,90.0,top
C17,10nF,C_0402_1005Metric,124.155,-135.775,180.0,top
C18,100n,C_0402_1005Metric,103.11,-97.77,0.0,top
C19,1uF,C_0603_1608Metric,142.225,-119.65,180.0,top
C2,1u,C_0402_1005Metric,115.645,-118.375,180.0,top
C20,100nF,C_0402_1005Metric,147.32,-119.6,0.0,top
C21,1uF,C_0402_1005Metric,153.71,-119.55,0.0,top
C22,10u,C_0805_2012Metric,104.12,-134.81,0.0,top
C23,10u,C_0805_2012Metric,98.5,-116.85,180.0,top
C3,100n,C_0402_1005Metric,115.125,-121.875,180.0,top
C4,100n,C_0402_1005Metric,117.025,-116.745,90.0,top
C5,100n,C_0402_1005Metric,118.1,-116.67,90.0,top
C6,100n,C_0402_1005Metric,123.1,-116.07,90.0,top
C7,100n,C_0402_1005Metric,128.08,-118.725,0.0,top
C8,100n,C_0402_1005Metric,124.955,-127.45,0.0,top
C9,100n,C_0402_1005Metric,118.625,-128.605,-90.0,top
D2,LED,LED_0201_0603Metric,154.935,-117.425,180.0,top
D3,LED,LED_0603_1608Metric,107.66,-152.025,180.0,top
D4,NSR0320,D_SOD-323F,108.725,-136.9,90.0,top
FL1,BLM18BD601SN1J,BEADC1608X95N,145.3,-116.91,-90.0,top
H1,MountingHole,,95.198638,-161.936278,0.0,top
H2,MountingHole,,175.198638,-161.936278,0.0,top
J1,Conn_Coaxial,SMA_Amphenol_901-144_Vertical,110.95,-113.15,90.0,top
J12,USB_B_Micro,MICRO-USB-SMD_5P-P0.65-H-F_105164-0001,98.7,-132.9,0.0,top
J2,Conn_Coaxial,SMA_Amphenol_901-144_Vertical,160.2,-90.75,90.0,top
J3,Conn_02x02_Top_Bottom,Hirose_DF11-4DP-2DSA_2x02_P2.00mm_Vertical,99.9,-144.85,-90.0,top
J4,Micro_SD_Card_Det1,microSD-503398-1892-1,121.875,-158.225,180.0,top
J5,Conn_01x02_Pin,HDR-TH_2P-P2.54-V-M,132.95,-117.75,0.0,top
J6,Conn_Coaxial,SMA_Amphenol_901-144_Vertical,100.815,-90.465,90.0,top
R1,10k,R_0402_1005Metric,137.51,-113.425,180.0,top
R10,10k,R_0402_1005Metric,131.535,-128.7,180.0,top
R11,10k,R_0402_1005Metric,128.45,-130.81,90.0,top
R12,0.002,R_2512_6332Metric,148.175,-125.075,0.0,top
R13,10k,R_0402_1005Metric,119.225,-111.96,-90.0,top
R14,10k,R_0402_1005Metric,147.365,-115.9,0.0,top
R15,470,R_0402_1005Metric,152.9,-116.525,-90.0,top
R16,470,R_0402_1005Metric,161.46,-117.05,0.0,top
R17,470,R_0402_1005Metric,161.45,-115.8,0.0,top
R18,10k,R_0603_1608Metric,104.56,-152.0,0.0,top
R2,27,R_0402_1005Metric,112.465,-120.95,0.0,top
R3,27,R_0402_1005Metric,112.465,-119.95,0.0,top
R4,1k,R_0402_1005Metric,111.235,-136.1,180.0,top
R5,1k,R_0402_1005Metric,127.15,-122.925,0.0,top
R6,10k,R_0402_1005Metric,110.215,-134.65,0.0,top
R7,10k,R_0402_1005Metric,125.065,-146.9,180.0,top
R8,5k,R_0402_1005Metric,126.035,-130.225,180.0,top
R9,5k,R_0402_1005Metric,122.79,-130.225,0.0,top
SW4,SW_Push_Shielded,SW_Push_1P1T_NO_CK_KMR2,137.05,-126.48,180.0,top
SW5,SW_Push_Shielded,SW_Push_1P1T_NO_CK_KMR2,106.95,-146.575,180.0,top
TP1,TestPoint,TH_BD3.2-D2.0,137.0,-121.68,90.0,top
TP2,TestPoint,TH_BD3.2-D2.0,106.05,-142.475,90.0,top
TP3,TestPoint,TH_BD3.2-D2.0,142.1725,-116.3775,90.0,top
TP4,TestPoint,TH_BD3.2-D2.0,99.7,-106.65,90.0,top
TP5,TestPoint,TH_BD3.2-D2.0,145.3,-148.65,90.0,top
TP6,TestPoint,TH_BD3.2-D2.0,104.14,-138.54,0.0,top
U1,CD-PA1616D,CD-PA1616D,153.3,-105.55,90.0,top
U12,RP2040,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,121.625,-122.35,90.0,top
U13,INA219AxD,SOIC-8_3.9x4.9mm_P1.27mm,144.76,-129.86,0.0,top
U15,TMP1075DSG,WSON-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm_ThermalVias,123.875,-132.65,-90.0,top
U16,RFM98PW,RFM98PW,123.8,-97.45,180.0,top
U2,NCP1117-3.3_SOT223,SOT-223-3_TabPin2,101.7625,-123.1,90.0,top
U3,W25Q128JVS,SOIC_208MIL_WIN,113.875,-129.55,90.0,top
Y3,ABM8-272-T3,Crystal_SMD_3225-4Pin_3.2x2.5mm,129.925,-123.125,90.0,top
